机型档位,该平均档售价,平均内存_G,平均硬盘_G,公允内存硬盘价值,硬件占比
移动工作站级,39499.0,64.0,5461.33,14088.32,0.48
发烧创作级,25175.35,61.54,2717.54,10125.91,0.51
性能进阶级,16742.81,30.7,1452.65,5182.19,0.46
高端入门级,9999.24,24.0,1070.55,3963.56,0.49
