品牌,硬件类型,平均影子价格,中位数价格,价格波动_标准差,样本型号数
华为,硬盘,2.93,2.93,null,1
华硕,内存,100.92,121.5,53.08,3
华硕,硬盘,0.71,0.71,0.31,2
惠普,内存,40.63,40.63,null,1
惠普,硬盘,2.93,2.93,null,1
戴尔,内存,25.0,25.0,null,1
戴尔,硬盘,0.78,0.78,null,1
联想,内存,244.75,244.75,222.38,2
联想,硬盘,0.99,0.98,0.38,4
苹果,内存,183.83,183.83,null,1
苹果,硬盘,2.5,2.5,null,1
