分词,分类,原始频次,传播权重得分
售后差,价格与服务,11,110
客服推诿,价格与服务,7,70
降价太快,价格与服务,2,20
反应慢,系统稳定性,3,15
自动调亮度,系统稳定性,3,15
卡顿,系统稳定性,3,15
黑屏,系统稳定性,3,15
不兼容,系统稳定性,2,10
价格背刺,价格与服务,1,10
二手货,价格与服务,1,10
翻新机,价格与服务,1,10
踢皮球,价格与服务,1,10
不退不换,价格与服务,1,10
鼠标打架,工业设计,2,6
死机,系统稳定性,1,5
重启,系统稳定性,1,5
闪退,系统稳定性,1,5
蓝屏,系统稳定性,1,5
AI难用,系统稳定性,1,5
散热差,工业设计,1,3
风扇大声,工业设计,1,3
噪音,工业设计,1,3
